step,avg_delay,avg_queue,max_queue,throughput,cumulative_reward
1330,40.311764705882354,1.0,2,1,-27793.714549875327
1331,40.44705882352941,0.8333333333333334,2,0,-27878.44200085572
1332,40.576470588235296,0.75,2,0,-27963.344942032192
1333,40.705882352941174,0.6666666666666666,2,0,-28048.42337340474
1334,40.82941176470588,0.6666666666666666,2,0,-28133.74886360082
1335,40.95294117647059,0.6666666666666666,2,0,-28219.32141262043
1336,41.1,1.0,2,0,-28305.52141262043
1337,41.21764705882353,1.0,2,0,-28391.956706738078
1338,41.32941176470588,1.3333333333333333,2,0,-28478.94886360082
1339,41.423529411764704,1.3333333333333333,2,0,-28566.129255757685
1340,41.49411764705882,1.3333333333333333,2,0,-28653.450824385138
1341,41.62352941176471,1.3333333333333333,2,0,-28741.031216542
1342,41.752941176470586,1.3333333333333333,2,0,-28828.870432228276
1343,41.88823529411765,1.3333333333333333,2,0,-28916.980236149844
1344,42.07058823529412,1.3333333333333333,2,0,-29005.454745953764
1345,42.27058823529412,1.3333333333333333,2,0,-29094.329255757686
1346,42.470588235294116,1.3333333333333333,2,0,-29183.60376556161
1347,42.688235294117646,1.3333333333333333,2,0,-29273.313569483176
1348,42.11176470588235,1.3333333333333333,2,1,-29358.870432228276
1349,41.54705882352941,1.3333333333333333,2,1,-29443.297883208666
1350,41.24418604651163,1.1666666666666667,2,0,-29529.952921968357
1351,40.411764705882355,1.0,2,2,-29608.776451380123
1352,40.56470588235294,0.8333333333333334,2,0,-29693.739196478164
1353,40.72352941176471,0.6666666666666666,2,0,-29778.85292196836
1354,40.86470588235294,0.6666666666666666,2,0,-29864.24900039973
1355,40.98235294117647,0.6666666666666666,2,0,-29949.880372948748
1356,41.10588235294118,0.6666666666666666,2,0,-30035.758804321296
1357,41.67857142857143,0.6666666666666666,2,1,-30119.782613845106
1358,41.74404761904762,0.6666666666666666,2,0,-30206.93737574987
1359,41.81547619047619,0.6666666666666666,2,0,-30294.234994797487
1360,41.88690476190476,0.6666666666666666,2,0,-30381.675470987964
1361,41.94047619047619,0.8333333333333334,2,0,-30469.38975670225
1362,42.0,1.0,2,0,-30557.38975670225
1363,42.07738095238095,0.9166666666666666,2,0,-30645.461185273678
1364,42.166666666666664,1.1666666666666667,2,0,-30733.961185273678
1365,42.26190476190476,1.1666666666666667,2,0,-30822.651661464155
1366,42.398809523809526,1.1666666666666667,2,0,-30911.61594717844
1367,41.55813953488372,1.1666666666666667,2,0,-30998.898892914876
1368,41.247126436781606,1.25,2,0,-31085.64314578844
1369,41.133720930232556,1.25,2,1,-31169.160587648905
1370,40.311764705882354,1.25,2,2,-31248.03411706067
1371,39.78235294117647,1.3333333333333333,2,1,-31328.932156276354
1372,39.51744186046512,1.3333333333333333,2,0,-31412.300373330618
1373,39.066265060240966,1.3333333333333333,2,3,-31485.76623678443
1374,39.25301204819277,1.3333333333333333,2,0,-31568.60559421415
1375,39.201219512195124,1.25,2,1,-31648.25803323854
1376,39.36585365853659,1.0,2,0,-31730.989740555615
1377,39.53048780487805,0.75,2,0,-31813.80071616537
1378,38.726190476190474,0.6666666666666666,2,0,-31894.919763784415
1379,38.4,0.75,2,0,-31975.469763784415
1380,38.06976744186046,0.6666666666666666,2,0,-32055.275965334804
1381,38.174418604651166,0.6666666666666666,2,0,-32135.291469210773
1382,38.29651162790697,0.9166666666666666,2,0,-32215.801159133254
1383,38.395348837209305,1.0,2,0,-32296.591856807674
1384,38.47674418604651,1.1666666666666667,2,0,-32377.712011846434
1385,38.12643678160919,1.3333333333333333,2,0,-32458.298218742984
